Region,Team
East 1,FC Cincinnati
East 1,NYCFC
East 1,Querétaro
East 2,Orlando City
East 2,Atlético
East 2,CF Montréal
East 3,UANL
East 3,Puebla
East 3,Inter Miami
East 4,Philadelphia
East 4,Charlotte
East 4,Cruz Azul
East 5,NE Revolution
East 5,Nashville
East 5,Mazatlán
East 6,Pachuca
East 6,NY Red Bulls
East 6,Toronto FC
East 7,Atlanta Utd
East 7,Santos
East 7,D.C. United
West 1,Monterrey
West 1,UNAM
West 1,Austin
West 2,Guadalajara
West 2,SJ Earthquakes
West 2,LA Galaxy
West 3,St. Louis
West 3,FC Dallas
West 3,FC Juárez
West 4,Toluca
West 4,Sporting KC
West 4,Fire
West 5,León
West 5,Portland Timbers
West 5,Rapids
West 6,Seattle
West 6,Minnesota Utd
West 6,Necaxa
West 7,LAFC
West 7,Vancouver W'caps
West 7,Tijuana
West 8,Dynamo FC
West 8,RSL
West 8,Atlas
