Team,Opponent,Region
Atlanta Utd,D.C. United,East 7
Orlando City,CF Montréal,East 2
UNAM,Austin,West 1
Seattle,Minnesota Utd,West 6
LAFC,Tijuana,West 7
Dynamo FC,Atlas,West 8
NE Revolution,Mazatlán,East 5
NY Red Bulls,Toronto FC,East 6
Philadelphia,Charlotte,East 4
Puebla,Inter Miami,East 3
St. Louis,FC Dallas,West 3
Guadalajara,SJ Earthquakes,West 2
NYCFC,Querétaro,East 1
Sporting KC,Fire,West 4
León,Portland Timbers,West 5
Atlético,CF Montréal,East 2
Pachuca,NY Red Bulls,East 6
Minnesota Utd,Necaxa,West 6
Monterrey,Austin,West 1
LAFC,Vancouver W'caps,West 7
Charlotte,Cruz Azul,East 4
Santos,D.C. United,East 7
FC Dallas,FC Juárez,West 3
Nashville,Mazatlán,East 5
UANL,Puebla,East 3
SJ Earthquakes,LA Galaxy,West 2
FC Cincinnati,Querétaro,East 1
RSL,Atlas,West 8
Toluca,Fire,West 4
Portland Timbers,Rapids,West 5
UANL,Inter Miami,East 3
Monterrey,UNAM,West 1
Vancouver W'caps,Tijuana,West 7
Atlanta Utd,Santos,East 7
Orlando City,Atlético,East 2
Pachuca,Toronto FC,East 6
Philadelphia,Cruz Azul,East 4
St. Louis,FC Juárez,West 3
Guadalajara,LA Galaxy,West 2
Seattle,Necaxa,West 6
FC Cincinnati,NYCFC,East 1
Dynamo FC,RSL,West 8
León,Rapids,West 5
Toluca,Sporting KC,West 4
NE Revolution,Nashville,East 5
